ID,SMILES,Solubility,Mean,Occurrence
A-399,CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C,-3.720177945,-3.472382665,5
A-641,CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C,-3.85543295,-3.472382665,5
A-2479,CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C,-3.270406298,-3.472382665,5
A-42,CCCCC,-3.087390343,-2.948556709,8
A-393,CCCCC,-2.002117911,-2.948556709,8
A-400,CCCCC,-3.006984006,-2.948556709,8
A-642,CCCCC,-3.142239011,-2.948556709,8
A-918,CCCCC,-3.272781625,-2.948556709,8
A-2383,CCCCC,-3.339728415,-2.948556709,8
A-2480,CCCCC,-2.557212359,-2.948556709,8
E-1,CCCCC,-3.18,-2.948556709,8
A-43,CC\C=C\C,-3.07508279,-2.746881173,5
A-395,CC\C=C\C,-1.989810357,-2.746881173,5
A-401,CC\C=C\C,-2.994676453,-2.746881173,5
A-644,CC\C=C\C,-3.129931458,-2.746881173,5
A-2481,CC\C=C\C,-2.544904806,-2.746881173,5
A-44,CCCCCC1C(CCC1=O)CC(=O)OC,-2.595803366,-2.751701683,2
B-2649,CCCCCC1C(CCC1=O)CC(=O)OC,-2.9076,-2.751701683,2
A-45,NO,-0.763033718,-0.746559321,7
A-88,NO,-0.007827728,-0.746559321,7
A-375,NO,-2.64384731,-0.746559321,7
A-2866,NO,-0.778545884,-0.746559321,7
A-2923,NO,-0.168466717,-0.746559321,7
A-3764,NO,0.074931087,-0.746559321,7
A-3887,NO,-0.939124977,-0.746559321,7
A-47,C=CC(=O)OCCOc1ccccc1,-2.563625713,-2.335659735,2
A-154,C=CC(=O)OCCOc1ccccc1,-2.107693758,-2.335659735,2
A-49,OC(=O)CCCCCCCCC=C,-3.552826145,-3.543764237,3
A-919,OC(=O)CCCCCCCCC=C,-3.680466567,-3.543764237,3
B-3740,OC(=O)CCCCCCCCC=C,-3.398,-3.543764237,3
A-52,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,-4.76337569,-4.846235671,3
A-95,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,-4.975711291,-4.846235671,3
A-2378,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,-4.799620032,-4.846235671,3
A-57,CC(C)=CCCC(=C)C=C,-4.430147743,-4.408123871,2
B-726,CC(C)=CCCC(=C)C=C,-4.3861,-4.408123871,2
A-58,Cc1ccc(cc1)C(C)(C)C,-4.472021768,-4.520476775,2
A-67,Cc1ccc(cc1)C(C)(C)C,-4.568931781,-4.520476775,2
A-59,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-2.798144504,-3.7785748,5
A-75,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-3.905464204,-3.7785748,5
A-104,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-4.000621849,-3.7785748,5
A-110,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-4.058197606,-3.7785748,5
A-121,CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,-4.130445839,-3.7785748,5
A-61,OC(=O)C1CCCCC1,-1.445031941,-1.627515971,2
C-1081,OC(=O)C1CCCCC1,-1.81,-1.627515971,2
A-64,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-6.704870223,-8.599476443,3
A-65,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.973715535,-8.599476443,3
A-6110,CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-11.11984357,-8.599476443,3
A-73,CCCN(CCC)C(=O)SCC,-2.703174404,-2.721910816,2
A-82,CCCN(CCC)C(=O)SCC,-2.740647229,-2.721910816,2
A-76,[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-4.141900896,-5.185789208,2
A-200,[OH-].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-6.229677519,-5.185789208,2
A-78,[nH]1ccc2ccccc12,-1.517296002,-1.363648001,2
C-196,[NH]1C=CC2=C1C=CC=C2,-1.21,-1.363648001,2
A-90,CCOC(=O)CC(C)CC(C)(C)C,-3.778839505,-3.813573369,3
A-106,CCOC(=O)CC(C)CC(C)(C)C,-3.823043168,-3.813573369,3
A-108,CCOC(=O)CC(C)CC(C)(C)C,-3.838837435,-3.813573369,3
A-92,C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4,-4.062663446,-6.488277311,4
A-2716,C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4,-6.840814696,-6.488277311,4
A-5926,C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4,-8.2610311,-6.488277311,4
B-2113,C1CCC(CC1)N(Sc2sc3ccccc3n2)C4CCCCC4,-6.7886,-6.488277311,4
A-93,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.099066965,-5.121981721,3
A-94,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.123168748,-5.121981721,3
A-96,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.14370945,-5.121981721,3
A-97,CC(=C)C1CCC(=CC1)C,-4.622414899,-3.81846137,9
A-133,CC(=C)C1CCC(=CC1)C,-4.750482894,-3.81846137,9
A-142,CC(=C)C1CCC(=CC1)C,-3.84649653,-3.81846137,9
A-3036,CC(=C)C1CCC(=CC1)C,-2.4019045,-3.81846137,9
A-3048,CC(=C)C1CCC(=CC1)C,-3.055117013,-3.81846137,9
A-3056,CC(=C)C1CCC(=CC1)C,-3.240536497,-3.81846137,9
B-797,CC(=C)C1CCC(=CC1)C,-4.2552,-3.81846137,9
D-1593,CC(=C)C1CCC(=CC1)C,-4.194,-3.81846137,9
E-25,C(=CCC(C(=C)C)C1)(C1)C,-4,-3.81846137,9
A-98,CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.629148281,-4.731857616,3
A-135,CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.772570424,-4.731857616,3
A-137,CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.793854145,-4.731857616,3
A-99,CC1=CCC2CC1C2(C)C,-4.629148281,-3.928770596,10
A-136,CC1=CCC2CC1C2(C)C,-4.772570424,-3.928770596,10
A-138,CC1=CCC2CC1C2(C)C,-4.793854145,-3.928770596,10
A-2370,CC1=CCC2CC1C2(C)C,-3.453057022,-3.928770596,10
A-2373,CC1=CCC2CC1C2(C)C,-3.490845583,-3.928770596,10
A-2374,CC1=CCC2CC1C2(C)C,-3.642936566,-3.928770596,10
A-2375,CC1=CCC2CC1C2(C)C,-2.924783245,-3.928770596,10
A-2376,CC1=CCC2CC1C2(C)C,-3.06984027,-3.928770596,10
A-2377,CC1=CCC2CC1C2(C)C,-3.772570424,-3.928770596,10
B-267,CC1=CCC2CC1C2(C)C,-4.7381,-3.928770596,10
A-105,CC(C)(C)c1ccc(cc1)C(O)=O,-3.803825213,-2.844133416,3
A-738,CC(C)(C)c1ccc(cc1)C(O)=O,-3.577962337,-2.844133416,3
A-1766,CC(C)(C)c1ccc(cc1)C(O)=O,-1.150612699,-2.844133416,3
A-107,CSSC,-1.54270558,-1.49320186,3
B-4269,CSSC,-1.4969,-1.49320186,3
G-607,CSSC,-1.44,-1.49320186,3
A-109,[Ca++].[O-][Si]([O-])=O,-2.650086994,-3.336877325,2
A-1848,[Ca++].[O-][Si]([O-])=O,-4.023667657,-3.336877325,2
A-112,CC(C)CCCCCCO,-2.769973823,-2.052351596,4
A-1760,CC(C)CCCCCCO,-3.051929937,-2.052351596,4
A-4245,CC(C)CCCCCCO,0.099497376,-2.052351596,4
D-1912,CC(C)CCCCCCO,-2.487,-2.052351596,4
A-114,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.178447129,-3.193493648,2
A-120,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.208540167,-3.193493648,2
A-118,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.151088918,-4.197959298,3
A-1189,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.068588977,-4.197959298,3
B-20,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.3742,-4.197959298,3
A-126,OC(=O)c1ccc(cc1)[N+]([O-])=O,-2.921998431,-2.76127753,5
A-923,OC(=O)c1ccc(cc1)[N+]([O-])=O,-2.644389217,-2.76127753,5
C-299,OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,-2.84,-2.76127753,5
E-1171,O=C(O)c(ccc(N(=O)=O)c1)c1,-2.8,-2.76127753,5
F-1200,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],-2.6,-2.76127753,5
A-130,CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,-4.124473249,-4.274988247,2
A-183,CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,-4.425503245,-4.274988247,2
A-131,C1Cc2cccc3cccc1c23,-4.731752137,-4.642188034,4
B-3568,C1Cc2cccc3cccc1c23,-4.597,-4.642188034,4
C-392,C1CC2=CC=CC3=CC=CC1=C23,-4.61,-4.642188034,4
E-63,c1ccc2cccc3c2c1CC3,-4.63,-4.642188034,4
A-132,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,-5.094636314,-5.061885539,2
A-1259,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,-5.029134765,-5.061885539,2
A-139,C[Si](C)(C)O[Si](C)(C)C,-4.909505216,-5.075752608,2
B-528,C[Si](C)(C)O[Si](C)(C)C,-5.242,-5.075752608,2
A-141,O=C1Oc2ccccc2C=C1,-1.886030361,-2.258676787,3
C-365,O=C1OC2=C(C=CC=C2)C=C1,-3.16,-2.258676787,3
H-85,O=C1C=CC2=C(C=CC=C2)O1,-1.73,-2.258676787,3
A-166,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.304709019,-4.44357827,5
A-1398,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.137092067,-4.44357827,5
A-1839,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.383890265,-4.44357827,5
B-3878,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.6522,-4.44357827,5
F-362,CC(C)COC(=O)C1=C(C(=O)OCC(C)C)C=CC=C1,-4.74,-4.44357827,5
A-175,OC(=O)CCCCCCCCCCC(O)=O,-4.294115619,-3.503602452,5
A-855,OC(=O)CCCCCCCCCCC(O)=O,-3.76024149,-3.503602452,5
A-1090,OC(=O)CCCCCCCCCCC(O)=O,-3.885180226,-3.503602452,5
A-1393,OC(=O)CCCCCCCCCCC(O)=O,-3.061271485,-3.503602452,5
A-4745,OC(=O)CCCCCCCCCCC(O)=O,-2.517203441,-3.503602452,5
A-176,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.387683254,-4.368583222,5
A-1754,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.330644753,-4.368583222,5
A-1938,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.444588105,-4.368583222,5
E-1112,O=C(OCCCC)c(c(ccc1)C(=O)OCCCC)c1,-4.4,-4.368583222,5
F-304,CCCCOC(=O)C1=C(C(=O)OCCCC)C=CC=C1,-4.28,-4.368583222,5
A-179,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,-3.561584268,-1.415521722,5
A-2837,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,-0.773513953,-1.415521722,5
A-2862,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,-0.866935638,-1.415521722,5
A-2878,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,-0.922452966,-1.415521722,5
A-2881,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,-0.953121785,-1.415521722,5
A-180,NNC(N)=S,-0.959704259,-0.902732583,2
A-1744,NNC(N)=S,-0.845760907,-0.902732583,2
A-185,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,-5.312587494,-5.366369814,2
A-1994,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,-5.420152134,-5.366369814,2
A-190,CCCCCCCCCCCCCCCC(=O)NCC(O)=O,-5.541970099,-5.59540243,3
A-192,CCCCCCCCCCCCCCCC(=O)NCC(O)=O,-5.593122622,-5.59540243,3
A-194,CCCCCCCCCCCCCCCC(=O)NCC(O)=O,-5.651114569,-5.59540243,3
A-193,C\1C\C=C/CC\C=C/CC/C=C1,-5.365156254,-5.564126258,2
A-2161,C\1C\C=C/CC\C=C/CC/C=C1,-5.763096263,-5.564126258,2
A-197,CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2,-6.214524895,-7.214524895,2
A-2300,CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2,-8.214524895,-7.214524895,2
A-201,c1ccc(cc1)c2ccc(cc2)c3ccccc3,-6.183335848,-6.645167924,2
B-4134,c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.107,-6.645167924,2
A-202,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-6.268496846,-6.493474591,6
A-204,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-6.40319542,-6.493474591,6
A-2239,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-6.666436855,-6.493474591,6
A-2302,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-7.790411563,-6.493474591,6
A-2634,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-6.365406859,-6.493474591,6
B-1768,CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-5.4669,-6.493474591,6
A-203,c1cc2ccc3cccc4ccc(c1)c2c34,-6.178796616,-6.142932205,3
C-781,C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,-6.06,-6.142932205,3
E-68,c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34,-6.19,-6.142932205,3
A-205,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-6.701487033,-6.976940767,2
A-212,CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.252394502,-6.976940767,2
A-210,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-7.129294212,-7.001401139,7
A-2148,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.060213293,-7.001401139,7
A-2198,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.397177868,-7.001401139,7
A-2257,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.978908353,-7.001401139,7
A-2286,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-7.361243289,-7.001401139,7
A-2306,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-8.114570955,-7.001401139,7
B-4409,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.9684,-7.001401139,7
A-211,C(Oc1ccc2ccccc2c1)c3ccccc3,-6.938404817,-6.708039398,2
A-2231,C(Oc1ccc2ccccc2c1)c3ccccc3,-6.477673979,-6.708039398,2
A-213,CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1,-7.404250358,-7.185386555,3
A-2278,CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1,-7.425439657,-7.185386555,3
A-2654,CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1,-6.726469652,-7.185386555,3
A-214,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-7.171170435,-7.049524686,5
A-2234,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-6.627102391,-7.049524686,5
A-2242,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-6.722464115,-7.049524686,5
A-2267,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-6.953686491,-7.049524686,5
B-1181,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-7.7732,-7.049524686,5
A-217,COc1cc(N=Nc2c(Br)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-8.080146895,-6.787633569,2
A-2500,COc1cc(N=Nc2c(Br)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-5.495120243,-6.787633569,2
A-218,COc1cc(N=Nc2c(Cl)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-8.048126442,-6.755613116,2
A-5493,COc1cc(N=Nc2c(Cl)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-5.46309979,-6.755613116,2
A-220,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,-8.185258765,-8.597213136,2
A-5534,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,-9.009167506,-8.597213136,2
A-221,O=[V]=O,-2.380944936,-4.742350953,4
A-222,O=[V]=O,-4.400250091,-4.742350953,4
A-5564,O=[V]=O,-6.059025465,-4.742350953,4
A-5565,O=[V]=O,-6.129183319,-4.742350953,4
A-223,[OH-].[OH-].[Ca++],-1.87020583,-2.030114491,7
A-246,[OH-].[OH-].[Ca++],-1.898959707,-2.030114491,7
A-254,[OH-].[OH-].[Ca++],-1.910729926,-2.030114491,7
A-1522,[OH-].[OH-].[Ca++],-1.603798487,-2.030114491,7
A-1567,[OH-].[OH-].[Ca++],-1.632982219,-2.030114491,7
A-1596,[OH-].[OH-].[Ca++],-1.644462036,-2.030114491,7
A-5030,[OH-].[OH-].[Ca++],-3.64966323,-2.030114491,7
A-225,Cc1cccc(C)c1OCC(O)=O,-2.256644531,-1.930743392,3
A-245,Cc1cccc(C)c1OCC(O)=O,-2.282273941,-1.930743392,3
A-1882,Cc1cccc(C)c1OCC(O)=O,-1.253311704,-1.930743392,3
A-230,[O--].[O--].[Mg++].[Ca++],-1.988356233,-3.231417558,3
A-1719,[O--].[O--].[Mg++].[Ca++],-1.842478945,-3.231417558,3
A-2207,[O--].[O--].[Mg++].[Ca++],-5.863417497,-3.231417558,3
A-231,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3C(O)CC4=O,-1.485844948,-1.849470945,2
A-1519,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3C(O)CC4=O,-2.213096942,-1.849470945,2
A-233,[Mg++],-2.375356771,-2.779015644,3
A-238,[Mg++],-2.402069338,-2.779015644,3
A-534,[Mg++],-3.559620823,-2.779015644,3
A-235,Oc1c(Br)cc(Br)cc1Br,-2.533243037,-3.312581012,3
B-4395,Oc1c(Br)cc(Br)cc1Br,-3.6745,-3.312581012,3
C-491,OC1=C(Br)C=C(Br)C=C1Br,-3.73,-3.312581012,3
A-237,Nc1cc(ccc1O)[N+]([O-])=O,-2.205601857,-2.213650928,2
B-430,Nc1cc(ccc1O)[N+]([O-])=O,-2.2217,-2.213650928,2
A-239,Nc1ccc(Cl)cc1[N+]([O-])=O,-3.254696583,-2.896348291,2
B-335,Nc1ccc(Cl)cc1[N+]([O-])=O,-2.538,-2.896348291,2
A-240,[Na+].Oc1ccccc1C([O-])=O,0.777235242,0.334121417,4
A-1770,[Na+].Oc1ccccc1C([O-])=O,-0.107492169,0.334121417,4
A-1804,[Na+].Oc1ccccc1C([O-])=O,-0.128855221,0.334121417,4
A-1897,[Na+].Oc1ccccc1C([O-])=O,0.795597818,0.334121417,4
A-241,O=[Ca],-1.768326879,-2.306487358,3
A-1731,O=[Ca],-1.622458512,-2.306487358,3
A-5031,O=[Ca],-3.528676684,-2.306487358,3
A-244,[Co+3].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC.CC(C)OCCCN[S](=O)(=O)c5ccc([O-])c(c5)N=Nc6c(C)nn(c6[O-])c7ccccc7.CC(C)OCCCN[S](=O)(=O)c8ccc([O-])c(c8)N=Nc9c(C)nn(c9[O-])c%10ccccc%10,-3.184150394,-3.209956319,2
